Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA4 (UR), AGE5P - Age in Five Year Groups, SEXP Sex, INGP Indigenous Status, HEAP Level of Highest Educational Attainment and LFSP Labour Force Status"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"Counting","SA4 (UR)","AGE5P - Age in Five Year Groups","SEXP Sex","INGP Indigenous Status","HEAP Level of Highest Educational Attainment","LFSP Labour Force Status","Count",
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","60-64 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","60-64 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",673
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","60-64 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",39
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","60-64 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",4347
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","60-64 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",361
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","60-64 years","Male","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","60-64 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","60-64 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",35
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","60-64 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",8
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","60-64 years","Female","ATSI (any)","Degree-level or higher","Employed, any",6
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","60-64 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","60-64 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",17
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","60-64 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",3
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","60-64 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",909
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","60-64 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",49
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","60-64 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",3302
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","60-64 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",184
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","60-64 years","Female","Not stated","Degree-level or higher","Employed, any",7
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","60-64 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","60-64 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",29
"Persons Aged 15 Years and Over Place of Work","Latrobe - Gippsland","60-64 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","25-29 years","Male","ATSI (any)","Degree-level or higher","Employed, any",44
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","25-29 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","25-29 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",92
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","25-29 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",16
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","25-29 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",18105
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","25-29 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",1111
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","25-29 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",12109
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","25-29 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",940
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","25-29 years","Male","Not stated","Degree-level or higher","Employed, any",55
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","25-29 years","Male","Not stated","Degree-level or higher","Unemployed, any",6
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","25-29 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",52
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","25-29 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",5
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","25-29 years","Female","ATSI (any)","Degree-level or higher","Employed, any",63
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","25-29 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","25-29 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",55
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","25-29 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",5
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","25-29 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",23036
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","25-29 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",1290
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","25-29 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",9558
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","25-29 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",702
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","25-29 years","Female","Not stated","Degree-level or higher","Employed, any",64
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","25-29 years","Female","Not stated","Degree-level or higher","Unemployed, any",4
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","25-29 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",47
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","25-29 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",8
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","30-34 years","Male","ATSI (any)","Degree-level or higher","Employed, any",33
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","30-34 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",4
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","30-34 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",76
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","30-34 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",8
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","30-34 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",18730
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","30-34 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",606
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","30-34 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",10970
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","30-34 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",606
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","30-34 years","Male","Not stated","Degree-level or higher","Employed, any",45
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","30-34 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","30-34 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",54
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","30-34 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",3
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","30-34 years","Female","ATSI (any)","Degree-level or higher","Employed, any",53
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","30-34 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",3
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","30-34 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",49
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","30-34 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",6
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","30-34 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",20729
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","30-34 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",782
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","30-34 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",7543
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","30-34 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",432
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","30-34 years","Female","Not stated","Degree-level or higher","Employed, any",55
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","30-34 years","Female","Not stated","Degree-level or higher","Unemployed, any",3
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","30-34 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",31
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","30-34 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","35-39 years","Male","ATSI (any)","Degree-level or higher","Employed, any",25
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","35-39 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",4
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","35-39 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",35
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","35-39 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",6
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","35-39 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",12715
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","35-39 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",424
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","35-39 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",7810
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","35-39 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",447
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","35-39 years","Male","Not stated","Degree-level or higher","Employed, any",32
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","35-39 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","35-39 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",30
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","35-39 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",10
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","35-39 years","Female","ATSI (any)","Degree-level or higher","Employed, any",32
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","35-39 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","35-39 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",17
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","35-39 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","35-39 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",13146
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","35-39 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",465
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","35-39 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",5169
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","35-39 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",319
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","35-39 years","Female","Not stated","Degree-level or higher","Employed, any",31
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","35-39 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","35-39 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",33
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","35-39 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",5
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","40-44 years","Male","ATSI (any)","Degree-level or higher","Employed, any",20
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","40-44 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",3
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","40-44 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",48
"Persons Aged 15 Years and Over Place of Work","Melbourne - Inner","40-44 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",0
